id,name,slug,type,status,featured,catalog_visibility,price,regular_price,sale_price,on_sale,stock_status,stock_quantity,sku,date_created,date_modified
11045,"פוסטר ""תהיו מיוחדים תהיו אתם""- קובץ דיגיטלי",%d7%a4%d7%95%d7%a1%d7%98%d7%a8-%d7%aa%d7%94%d7%99%d7%95-%d7%9e%d7%99%d7%95%d7%97%d7%93%d7%99%d7%9d-%d7%aa%d7%94%d7%99%d7%95-%d7%90%d7%aa%d7%9d-%d7%a7%d7%95%d7%91%d7%a5-%d7%93%d7%99%d7%92%d7%99,simple,publish,False,visible,25,25,,False,instock,,,2021-07-26T12:27:22,2024-09-26T11:29:22
11131,כיתת בוהו שיק לקטנטנים- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%91%d7%95%d7%94%d7%95-%d7%a9%d7%95%d7%a7-%d7%9c%d7%a7%d7%98%d7%a0%d7%98%d7%a0%d7%99%d7%9d-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99,simple,publish,False,visible,55,55,,False,instock,,,2021-08-14T15:40:57,2024-09-26T11:29:16
11263,כיתת בוהו שיק סגנון 2,%d7%9b%d7%99%d7%aa%d7%aa-%d7%91%d7%95%d7%94%d7%95-%d7%a9%d7%99%d7%a7-%d7%a1%d7%92%d7%a0%d7%95%d7%9f-2,simple,publish,False,visible,62,62,,False,instock,,,2021-08-29T11:38:44,2024-09-26T11:29:09
11899,כיתת תפוזים- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%aa%d7%a4%d7%95%d7%96%d7%99%d7%9d,simple,publish,False,visible,55,55,,False,instock,,,2022-08-01T11:25:35,2024-09-26T11:29:00
11989,כיתת אננס קבצים דיגיטליים,,simple,draft,False,visible,,,,False,instock,,,,2022-08-08T12:27:00
11994,כיתת אננס קבצים דיגיטליים,,simple,draft,False,visible,,,,False,instock,,,,2022-08-08T19:09:40
11995,כיתת אננס קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%90%d7%a0%d7%a0%d7%a1-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,55,55,,False,instock,,,2022-08-08T20:38:23,2024-09-26T11:28:20
12077,כיתת מניונים- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%9e%d7%a0%d7%99%d7%95%d7%a0%d7%99%d7%9d-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,45,45,,False,instock,,,2022-08-18T10:27:48,2024-09-26T11:28:13
12836,"כיתת ""חברות""- קבצים דיגיטליים",%d7%9b%d7%99%d7%aa%d7%aa-%d7%97%d7%91%d7%a8%d7%95%d7%aa-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,65,65,,False,instock,,,2023-07-17T20:13:08,2024-09-26T11:28:06
12892,כיתת הארי פוטר/ מכשפים- קבצים דיגיטליים,,simple,draft,False,visible,,,,False,instock,,,,2023-07-26T18:40:47
12901,כיתת הארי פוטר/ מכשפים- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%94%d7%90%d7%a8%d7%99-%d7%a4%d7%95%d7%98%d7%a8-%d7%9e%d7%9b%d7%a9%d7%a4%d7%99%d7%9d-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,65,65,,False,instock,,,2023-07-26T19:10:26,2023-07-26T19:10:45
13059,תגי שמות למגירות בעיצובים שונים- קבצים דיגיטליים,,simple,draft,False,visible,,,,False,instock,,,,2023-08-24T18:38:40
13064,תגי שמות למגירות בעיצובים שונים- קבצים דיגיטליים,%d7%aa%d7%92%d7%99-%d7%a9%d7%9e%d7%95%d7%aa-%d7%9c%d7%9e%d7%92%d7%99%d7%a8%d7%95%d7%aa-%d7%91%d7%a2%d7%99%d7%a6%d7%95%d7%91%d7%99%d7%9d-%d7%a9%d7%95%d7%a0%d7%99%d7%9d-%d7%a7%d7%91%d7%a6%d7%99%d7%9d,simple,publish,False,visible,18,18,,False,instock,,,2023-08-24T18:47:52,2024-09-26T11:21:33
13810,כיתה בכחול לבן- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%94-%d7%91%d7%9b%d7%97%d7%95%d7%9c-%d7%9c%d7%91%d7%9f-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,55,55,,False,instock,,,2024-08-16T19:39:39,2024-09-26T11:27:32
14501,כיתת לילו וסטיץ- קבצים דיגיטליים,%d7%9b%d7%99%d7%aa%d7%aa-%d7%9c%d7%99%d7%9c%d7%95-%d7%95%d7%a1%d7%98%d7%99%d7%a5-%d7%a7%d7%91%d7%a6%d7%99%d7%9d-%d7%93%d7%99%d7%92%d7%99%d7%98%d7%9c%d7%99%d7%99%d7%9d,simple,publish,False,visible,65,65,,False,instock,,,2025-08-09T11:06:26,2025-08-09T11:06:26
